##,name,portal,"NCBI Taxon","assembly length","#of genes","is public","is published","is superseded","superseded by","publication(s)","pubmed id(s)"
507,"Homolaphlyctis polyrhiza JEL142 v1.0",Hompol1,1142505,21324754,7123,Y,Y,N,,"Joneson S et al.,2011","22072962"
508,"Puccinia coronata avenae 12NC29",PuccoNC29_1,860303,166280221,28270,Y,Y,N,,"Nazareno ES et al.,2018","28846186"
509,"Puccinia coronata avenae 12SD80",PuccoSD80_1,860303,150467806,26323,Y,Y,N,,"Nazareno ES et al.,2018","28846186"
510,"Schizothecium vesticola SMH3187-1 v1.0",Schves1,314040,35941384,12641,Y,N,N,,,
511,"Bombardia bombarda SMH3391-2 v1.0",Bombom1,252184,38597794,12102,Y,N,N,,,
512,"Lasiosphaeria miniovina SMH2392-1A v1.0",Lasmin1,1954250,49418628,14970,Y,N,N,,,
513,"Saksenaea vasiformis B4078",Sakvas1,90258,42502389,9387,Y,Y,N,,"Chibucos MC et al.,2016","27447865"
514,"Penicillium flavigenum IBT 14082",Penfla1,254877,32903267,10994,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
515,"Nakaseomyces bacillisporus CBS 7720",Nakbac1,51660,10993726,5086,Y,Y,N,,"Gabaldon T et al.,2013","24034898"
516,"Thermomyces lanuginosus SSBP",Thelan1,5541,19155516,6241,Y,Y,N,,"McHunu NP et al.,2013","23788551"
517,"Nakaseomyces delphensis CBS 2170",Nakdel1,51657,10932331,5103,Y,Y,N,,"Gabaldon T et al.,2013","24034898"
518,"Tolypocladium inflatum NRRL 8044",Tolinf1,29910,30348711,9998,Y,Y,N,,"Bushley KE et al.,2013","23818858"
519,"Cladosporium sphaerospermum UM 843",Clasph1,92950,26690478,8807,Y,Y,N,,"Ng KP et al.,2012","22544899"
520,"Armillaria ostoyae C18/9",Armosto1,47428,60106801,22705,Y,Y,N,,"Sipos G et al.,2017","29085064"
521,"Armillaria cepistipes B5",Armcep1,47426,75828441,23460,Y,Y,N,,"Sipos G et al.,2017","29085064"
522,"Zancudomyces culisetae COL-18-3",Zancul2,1213189,28637897,8067,Y,Y,N,,"Wang Y et al.,2016","27343289"
523,"Smittium mucronatum ALG-7-W6",Smimuc2,133383,102350667,8247,Y,Y,N,,"Wang Y et al.,2016","27343289"
524,"Smittium culicis GSMNP",SmicuMNP_2,133412,77124806,12166,Y,Y,N,,"Wang Y et al.,2016","27343289"
525,"Smittium culicis ID-206-W2",SmiculW2_1,133412,71049901,11260,Y,Y,N,,"Wang Y et al.,2016","27343289"
526,"Mycena sp. CBHHK59/15 v1.0",Myc59_1,1940295,177780440,38334,Y,N,N,,,
527,"Truncatella angustata MPI-SDFR-AT-0073 v1.0",Truan1,152316,47102642,14777,Y,N,N,,,
528,"Phaeoacremonium sp. FL0889 v1.0",PhaeoFL0889_1,1884258,48117814,17000,Y,N,N,,,
529,"Fusarium redolens MPI-CAGE-AT-0023 v1.0",Fusre1,48865,52563400,17051,Y,N,N,,,
530,"Pyrenochaeta lycopersici MPI-SDFR-AT-0127 v1.0",Pyrly1,285811,40265766,14311,Y,N,N,,,
531,"Tilletiopsis sp. TKC30 v1.0",Tillet1,1954214,27941152,9728,Y,N,N,,,
532,"Sporodiniella umbellata MES 1446 v1.0",Spoumb1,101117,26235891,10781,Y,N,N,,,
533,"Moesziomyces aphidis DSM 70725",Moeaph1,1391700,17921702,6011,Y,Y,N,,"Lorenz S et al.,2014","24526638"
534,"Penicillium decumbens IBT 11843",Pendec1,69771,23940802,7149,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
535,"Penicillium solitum IBT 29525",Pensol1,60172,33184895,11889,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
536,"Ustilaginoidea virens",Ustvir1,1159556,33567624,6451,Y,Y,N,,"Kumagai T et al.,2016","27151791"
537,"Penicillium vulpinum IBT 29486",Penvul1,29845,31032801,10278,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
538,"Penicillium coprophilum IBT 31321",Pencop1,36646,28360408,8999,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
539,"Penicillium nalgiovense FM193",Pennal1,1439352,32980092,11853,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
540,"Suillus luteus UH-Slu-Lm8-n1 v3.0",Suilu4,5384,44486502,16588,Y,Y,N,,"Kohler A et al.,2015","25706625"
541,"Trichosporon asahii var. asahii CBS 8904",Trias8904,1220162,25267041,8507,Y,Y,N,,"Yang RY et al.,2012","23193141"
542,"Trichosporon asahii var. asahii CBS 2479",Trias2479,1186058,24271268,8300,Y,Y,N,,"Yang R et al.,2003","14641628"
543,"Penicillium polonicum IBT 4502",Penpol1,60169,32376562,10694,Y,Y,N,,"Nielsen JC et al.,2017","28368369"
544,"Zymoseptoria brevis Zb18110",Zymbr1,1047168,31914300,10566,Y,Y,N,,"Grandaubert J et al.,2015","25917918"
545,"Neonectria ditissima R09/05",Neodi1,78410,45719213,12685,Y,Y,N,,"Gomez-Cortecero A et al.,2015","26586869"
546,"Stemphylium lycopersici CIDEFI-216",Stely1,183478,35173254,8997,Y,Y,N,,"Franco ME et al.,2015","26404600"
547,"Penicillium griseofulvum PG3",Pengri1,5078,29140916,9630,Y,Y,N,,"Banani H et al.,2016","26729047"
548,"Colletotrichum tofieldiae 0861",Colto1,708197,52836184,12501,Y,Y,N,,"Hacquard S et al.,2016","27150427"
549,"Byssochlamys spectabilis No. 5",Byssp1,1356009,29762401,8877,Y,Y,N,,"Oka T et al.,2014","24407650"
550,"Fonsecaea nubica CBS 269.64",Fonnu1,856822,33787447,11681,Y,Y,N,,"Costa FF et al.,2016","27491988"
551,"Fonsecaea monophora CBS 269.37",Fonmo1,254056,35229797,11984,Y,Y,N,,"Bombassaro A et al.,2016","27469960"
552,"Aspergillus bombycis NRRL 26010",Aspbom1,109264,37474605,12265,Y,Y,N,,"Moore GG et al.,2016","27664179"
553,"Stachybotrys elegans MPI-CAGE-CH-0235 v1.0",Stael1,80388,43467584,14925,Y,N,N,,,
554,"Neolecta irregularis DAH-1 v1.0",Neoirr1,48691,14591686,6674,Y,Y,N,,"Nguyen TA et al.,2017","28176784"
555,"Hortaea werneckii EXF-2000 M0 v1.0",Horwer1,91943,49942992,15748,Y,Y,N,,"Lenassi M et al.,2013","23977017"
556,"Aspergillus cristatus GZAAS20.1005",Aspcri1,573508,28454192,10344,Y,Y,N,,"Ge Y et al.,2016","27267057"
557,"Penicillium digitatum Pd1",Pendig1,1170230,24884312,8946,Y,Y,N,,"Marcet-Houben M et al.,2012","23171342"
558,"Antrodia serialis Sig1Antser10 v1.0",Antser1,139415,66694225,17406,Y,N,N,,,
559,"Vuilleminia comedens VcCUCC2015_SSI3 v1.0",Vuico1,47058,61630272,22331,Y,N,N,,,
560,"Phellinus ferrugineofuscus SpK3Phefer14 v1.0",Phefer1,167367,36888899,11139,Y,N,N,,,
561,"Myceliophthora heterothallica CBS 202.75 v1.0",Mychet1,1149848,35441645,9222,Y,N,N,,,
562,"Thanatephorus cucumeris MPI-SDFR-AT-0096 v1.0",Thacu1,107832,45795111,12955,Y,N,N,,,
563,"Phyllosticta sp. CPC 27913 v1.0",Phycpc1,1882840,32267666,11259,Y,N,N,,,
564,"Microdochium trichocladiopsis MPI-CAGE-CH-0230 v1.0",Mictri1,1682393,49282715,16025,Y,N,N,,,
565,"Phyllosticta paracitricarpa CBS 141357 v1.0",Phy27169,1907483,29529839,11081,Y,N,N,,,
566,"Phycomyces nitens S609 v1.0",PnitS609_1,269771,36991456,11877,Y,N,N,,,
567,"Rhodosporidium toruloides IFO0880 v4.0",Rhoto_IFO0880_4,5286,20683845,8490,Y,Y,N,,"Coradetti ST et al.,2018","29521624"
568,"Phycomyces nitens S607 v1.0",PnitS607_1,269771,35560626,11669,Y,N,N,,,
569,"Phycomyces nitens S608 v1.0",PnitS608_1,269771,37678874,11985,Y,N,N,,,
570,"Dichotomocladium elegans RSA 919- v1.0",Dicele1,101130,39778020,12396,Y,N,N,,,
571,"Mycena rosella CBHHK067 v1.0",Mycros1,1033263,129492142,34060,Y,N,N,,,
572,"Russula vinacea BPL710 v1.0",Rusvin1,517384,43280073,12673,Y,N,N,,,
573,"Gremmeniella abietina DAOM 170408 v1.0",Greab1,127520,38809823,11131,Y,N,N,,,
574,"Colletotrichum acutatum CBS 112980 v2.0",Colac2,27357,49057477,15036,Y,N,N,,,
575,"Aspergillus nomius NRRL 13137",Aspnom13137_1,1509407,36138823,11914,Y,Y,N,,"Moore GG et al.,2015","26216546"
576,"Aspergillus calidoustus",Aspcal1,454130,41102685,15139,Y,Y,N,,"Horn F et al.,2016","26966204"
577,"Aspergillus udagawae IFM 46973",Aspuda1,91492,32185562,9999,Y,Y,N,,"Kusuya Y et al.,2015","26251487"
578,"Sclerophora sanguinea CBS100924 v1.0",Sclsan1,1410009,18019643,7223,Y,N,N,,,
579,"Phyllosticta citricarpa CBS 127454 v1.0",Phycitr1,55181,28952665,11088,Y,N,N,,,
580,"Colletotrichum navitas CBS125086 v1.0",Colna1,681940,52436969,14682,Y,N,N,,,
581,"Didymocrea sadasivanii CBS 438.65 v1.0",Didsa1,372059,45143804,13361,Y,N,N,,,
582,"Coemansia spiralis RSA 1278 v1.0",Coespi1,417178,18931979,7247,Y,N,N,,,
583,"Kickxella alabastrina RSA 675 v1.0",Kicala1,61397,22263034,7475,Y,N,N,,,
584,"Pilobolus umbonatus NRRL 6349 v1.0",Pilumb1,101123,34772712,10983,Y,N,N,,,
585,"Mycena haematopus CBHHK189 v1.0",Mychae1,230807,62806267,20804,Y,N,N,,,
586,"Rigidoporus microporus ED310 v1.0",Rigmic1,219653,42090139,10917,Y,N,N,,,
587,"Aliquandostipite khaoyaiensis CBS 118232 v1.0",Alikh1,112102,119520317,11678,Y,N,N,,,
588,"Ophiostoma novo-ulmi subsp. novo-ulmi H327",Ophnu1,1224258,31784886,8640,Y,Y,N,,"Forgetta V et al.,2013~Comeau AM et al.,2014","23542132 25539722"
589,"Rhizopogon vesiculosus Smith",Rhives1,180088,43809644,14218,Y,Y,N,,"Mujic AB et al.,2017","28450370"
590,"Ustilago hordei Uh4857_4",Usthor1,1128400,21150702,7110,Y,Y,N,,"Laurie JD et al.,2012","22623492"
591,"Phyllosticta capitalensis CBS 128856 v1.0",Phycap1,121624,32461131,12063,Y,N,N,,,
592,"Yarrowia lipolytica FKP355 v1.0",Yarlip1,4952,20076540,6858,Y,Y,N,,"Pomraning KR et al.,2018","30518677"
593,"Lecythophora sp. AK0013 v1.0",LecAK0013_1,1884255,45654947,12290,Y,N,N,,,
594,"Multifurca ochricompacta BPL690 v1.0",Muloch1,376703,54697930,10514,Y,N,N,,,
595,"Russula compacta BPL669 v1.0",Ruscom1,40490,45678814,10834,Y,N,N,,,
596,"Terfezia claveryi T7 v1.0",Tercla1,139407,74471381,12765,Y,N,N,,,
597,"Lactifluus subvellereus BPL653 v1.0",Lacsub1,1837270,44824221,12802,Y,N,N,,,
598,"Mycena capillaripes Frankland 9286 v1.0",Mycrub1,230804,119906144,37256,Y,N,N,,,
599,"Lobaria pulmonaria Scotland reference genome v1.0",Lobpul1,86794,56119610,15607,Y,N,N,,,
600,"Panaeolus papilionaceus CIRM-BRFM 715 v1.0",Panpap1,330517,50889730,17466,Y,N,N,,,
601,"Vuilleminia comedens VcCUCC2015_SSI6 v1.0",Vuicom1,47058,59292727,21775,Y,N,N,,,
602,"Pycnoporus cinnabarinus CIRM-BRFM 50 v1.0",Pyccin1,5643,35142616,12533,Y,N,N,,,
603,"Cladorrhinum bulbillosum DJ3 v1.0",Clabul1,585595,39735607,12786,Y,N,N,,,
604,"Phyllosticta citrichinaensis CBS 130529 v1.0",Phcitr1,1130410,29162704,11092,Y,N,N,,,
605,"Cytidiella melzeri FP 102339 v1.0",Cytmel1,1883072,50894641,13046,Y,N,N,,,
606,"Bisporella sp. PMI_857 v1.0",Bissp1,1954211,56472170,17945,Y,N,N,,,
607,"Cunninghamella echinulata NRRL 1382 v1.0",Cunech1,76405,29002410,10443,Y,N,N,,,
608,"Cokeromyces recurvatus NRRL 2243 v1.0",Cokrec1,90255,28120762,10916,Y,N,N,,,
609,"Exophiala alcalophila J33 v1.0",Exoalc1_J33,91920,29703595,12081,Y,N,N,,,
610,"Pilaira anomala RSA1997 v1.0",Pilano1,64641,34898111,12817,Y,N,N,,,
611,"Rhodotorula glutinis v1.0",Rhoglu1,5535,20088400,8277,Y,N,N,,,
612,"Rhodotorula sp. J31 v1.0",RhodotJ31_1,1907212,20111900,7934,Y,N,N,,,
613,"Rhodosporidium toruloides ATCC26217 v1.0",Rhoto_ATCC26217_1,5286,20209575,8226,Y,N,N,,,
614,"Rhodotorula mucilaginosa ATCC58901 v1.0",Rhomuc1,5537,19873570,7810,Y,N,N,,,
615,"Circinella umbellata NRRL1351 v1.0",Cirumb1,101103,51270100,14693,Y,N,N,,,
616,"Exophiala alcalophila ATCC 48519 v1.0",Exoalc1,91920,29813316,12077,Y,N,N,,,
617,"Fennellomyces sp. T-0311 v1.0",Fenlin1,1329386,45897337,14128,Y,N,N,,,
618,"Chytridium lagenaria Arg66 v1.0",Chylag1,64509,42380874,14275,Y,N,N,,,
619,"Irpex lacteus CCBAS Fr. 238 617/93 v1.0",Irplac1,5319,47742868,15319,Y,N,N,,,
620,"Phyllosticta citribraziliensis CBS 100098 v1.0",Phcit1,989973,31670975,11101,Y,N,N,,,
621,"Colletotrichum higginsianum IMI 349063",Colhig2,759273,50716103,14651,Y,Y,N,,"Zampounis A et al.,2016~O'Connell RJ et al.,2012","27540062 22885923"
622,"Colletotrichum cereale CBS 129662 v1.0",Colce1,343994,52150039,16412,Y,N,N,,,
623,"Trichophaea hybrida UTF0779 v1.0",Trihyb1,47213,144183925,13308,Y,N,N,,,
624,"Syncephalis fuscata S228 v1.0",Synfus1,1851187,29358178,8846,Y,N,N,,,
625,"Climacocystis borealis CliBor001 v1.0",Clibor1,239101,51880721,13422,Y,N,N,,,
626,"Gilbertella persicaria var. persicaria CBS 190.32-T v1.0",Gilper1,101096,25732466,10992,Y,N,N,,,
627,"Coniella lustricola B22-T-1 v1.0",Pilidi1,2025994,36564510,11317,Y,N,N,,,
628,"Clitocybe gibba IJFM A808 v1.0",Cligib1,378275,65973163,19049,Y,N,N,,,
629,"Entophlyctis helioformis JEL805 v1.0",Enthel1,281842,30915201,10118,Y,N,N,,,
630,"Radiomyces spectabilis NRRL 2753 v1.0",Radspe1,64574,30409402,10905,Y,N,N,,,
631,"Spinellus fusiger NRRL 22323 v1.0",Spifus1,101115,38198483,10164,Y,N,N,,,
632,"Penicillium subrubescens FBCC1632 / CBS132785",Pensub1,1316194,39803164,14188,Y,Y,N,,"Peng M et al.,2017","28216099"
633,"Endocarpon pusillum Z07020",EndpusZ1,1263415,37130611,9238,Y,Y,N,,"Wang YY et al.,2014","24438332"
634,"Aspergillus uvarum CBS 121591 v1.0",Aspuva1,446911,35850703,12017,Y,Y,N,,"Vesth TC et al.,2018","30349117"
635,"Aspergillus homomorphus CBS 101889 v1.0",Asphom1,319626,34054866,11361,Y,Y,N,,"Vesth TC et al.,2018","30349117"
636,"Aspergillus fijiensis CBS 313.89 v1.0",Aspfij1,1191702,36513906,12019,Y,Y,N,,"Vesth TC et al.,2018","30349117"
637,"Aspergillus ibericus CBS 121593 v1.0",Aspibe1,301854,33437983,11680,Y,Y,N,,"Vesth TC et al.,2018","30349117"
638,"Aspergillus aculeatinus CBS 121060 v1.0",Aspacu1,487661,36471649,12027,Y,Y,N,,"Vesth TC et al.,2018","30349117"
639,"Aspergillus vadensis CBS 113365 v1.0",Aspvad1,288669,35663374,12132,Y,Y,N,,"Vesth TC et al.,2018","30349117"
640,"Aspergillus violaceofuscus CBS 115571 v1.0",Aspvio1,657443,36012865,12082,Y,Y,N,,"Vesth TC et al.,2018","30349117"
641,"Aspergillus eucalypticola CBS 122712 v1.0",Aspeuc1,1340029,34792412,11934,Y,Y,N,,"Vesth TC et al.,2018","30349117"
642,"Aspergillus heteromorphus CBS 117.55 v1.0",Asphet1,51019,35607567,11133,Y,Y,N,,"Vesth TC et al.,2018","30349117"
643,"Lactifluus volemus BPL652 v1.0",Lacvol1,71967,62975844,14970,Y,N,N,,,
644,"Aspergillus costaricaensis CBS 115574 v1.0",Aspcos1,319631,36947918,11966,Y,Y,N,,"Vesth TC et al.,2018","30349117"
645,"Russula brevipes BPL707 v1.0",Rusbre1,98861,48529157,14000,Y,N,N,,,
646,"Aspergillus sclerotiicarbonarius CBS 121057 v1.0",Aspscle1,487660,37621264,12571,Y,Y,N,,"Vesth TC et al.,2018","30349117"
647,"Xylariales sp. PMI_506 v1.0",XylPMI506,1940296,51304718,17035,Y,N,N,,,
648,"Aspergillus brunneoviolaceus CBS 621.78 v1.0",Aspbru1,1191711,37477200,12075,Y,Y,N,,"Vesth TC et al.,2018","30349117"
649,"Aspergillus sclerotioniger CBS115572 v1.0",Aspscl1,319627,36720365,12338,Y,Y,N,,"Vesth TC et al.,2018","30349117"
650,"Talaromyces proteolyticus PMI_201 v1.0",Talpro1,1131652,37611490,13587,Y,N,N,,,
651,"Aspergillus japonicus CBS 114.51 v1.0",Aspjap1,34381,36099954,12024,Y,Y,N,,"Vesth TC et al.,2018","30349117"
652,"Aspergillus neoniger CBS 115656 v1.0",Aspneo1,1196635,35416444,11939,Y,Y,N,,"Vesth TC et al.,2018","30349117"
653,"Aspergillus ellipticus CBS 707.79 v1.0",Aspell1,41066,42866077,12884,Y,Y,N,,"Vesth TC et al.,2018","30349117"
654,"Hymenoscyphus varicosporoides PMI_453 v1.0",Hymvar1,354079,48242133,14929,Y,N,N,,,
655,"Aspergillus saccharolyticus JOP 1030-1 v1.0",Aspsac1,979771,31096189,10066,Y,Y,N,,"Vesth TC et al.,2018","30349117"
656,"Trametes gibbosa CIRM-BRFM 1770 v1.0",Tragib1,160864,33109328,12038,Y,N,N,,,
657,"Aspergillus piperis CBS 112811 v1.0",Asppip1,319630,35280331,12069,Y,Y,N,,"Vesth TC et al.,2018","30349117"
658,"Aspergillus indologenus CBS 114.80 v1.0",Aspind1,1232676,38592838,12163,Y,Y,N,,"Vesth TC et al.,2018","30349117"
659,"Sparassis latifolia CCMJ1100 v1.0",Spalat1,1202976,35658227,12815,Y,N,N,,,
660,"Russula rugulosa BPL654 v1.0",Rusrug1,1897646,43452339,13281,Y,N,N,,,
661,"Cryptodiaporthe populea CFL2025 v1.0",Crypo1,940279,56940664,13681,Y,N,N,,,
662,"Biscogniauxia nummularia v1.0",Bisnum1,97378,41161898,11671,Y,N,N,,,
663,"Aspergillus niger (lacticoffeatus) CBS 101883 v1.0",Asplac1,1450533,35855892,13083,Y,Y,N,,"Vesth TC et al.,2018","30349117"
664,"Mariannaea sp. PMI_226 v1.0",MarPMI226,1896173,42252145,12638,Y,N,N,,,
665,"Ilyonectria robusta PMI_751 v1.0",Ilyrob1,1079257,59648482,20499,Y,N,N,,,
666,"Lycoperdon perlatum FP-102459-T v1.0",Lycper1,90686,64634788,17855,Y,N,N,,,
667,"Gymnopus earleae GB-263.02 v1.0",Gymear1,236213,91673264,25530,Y,N,N,,,
668,"Entoleuca mammata CFL468 v1.0",Entma1,97380,47195832,11498,Y,N,N,,,
669,"Cystostereum murrayi CysMur001 v1.0",Cysmur1,467946,32382358,13196,Y,N,N,,,
670,"Gaertneriomyces semiglobifer Barr 43 v1.0",Gaesem1,109897,20918219,8714,Y,N,N,,,
671,"Umbelopsis sp. nov. AD052 v1.0",Umbsp_AD052_1,1883073,22504321,9369,Y,N,N,,,
672,"Chytriomyces sp. MP 71 v1.0",Chytri1,1882861,36383760,16054,Y,N,N,,,
673,"Blastocladiella britannica v1.0",Blabri1,64508,19075314,9431,Y,N,N,,,
674,"Syncephalis plumigaleata NRRL S24 v1.0",Synplu1,1851185,32907727,8130,Y,N,N,,,
675,"Russula dissimulans BPL704 v1.0",Rusdis1,258981,44689478,11865,Y,N,N,,,
676,"Gloeopeniophorella convolvens OM19405 v1.0",Glocon1,205761,37988413,12904,Y,N,N,,,
677,"Coccodinium bartschii CBS 121709 v1.0",Cocba1,54530,28268635,9532,Y,N,N,,,
678,"Massariosphaeria phaeospora CBS 611.86 v1.0",Masph1,100035,42105601,14021,Y,N,N,,,
679,"Delphinella strobiligena CBS 735.71 v1.0",Delst1,147560,29209081,10337,Y,N,N,,,
680,"Lodderomyces elongisporus NRRL YB-4239",Lodelo1,379508,15350449,5746,Y,Y,N,,"Butler G et al.,2009","19465905"
681,"Metarhizium robertsii ARSEF 23",Metro1,655844,41656800,11688,Y,Y,N,,"Hu X et al.,2014~Gao Q et al.,2011","25368161 21253567"
682,"Microbotryum lychnidis-dioicae p1A1 Lamole",Micld1,683840,26138885,7819,Y,Y,N,,"Perlin MH et al.,2015","26076695"
683,"Candida albicans SC5314",Canalb1,237561,14282666,6040,Y,Y,N,,"Jones T et al.,2004~van het Hoog M et al.,2007~Muzzey D et al.,2013","15123810 17419877 24025428"
684,"Colletotrichum orchidophilum IMI 309357",Color1,1209926,48556462,14496,Y,Y,N,,"Baroncelli R et al.,2018","29649963"
685,"Ogataea parapolymorpha DL-1",Ogapa1,871575,8874589,5325,Y,N,N,,,
686,"Mortierella verticillata NRRL 6337",Morve1,1069443,41854149,12569,Y,N,N,,,
687,"Paracoccidioides brasiliensis Pb18",Parbra1,502780,29952540,8390,Y,Y,N,,"Desjardins CA et al.,2011","22046142"
688,"Purpureocillium sp. UdeA0106 v1.0",Pursp1,1323837,36077769,13642,Y,N,N,,,
689,"Mortierella multidivaricata RSA 2152 T v1.0",Mormul1,101098,37665308,12248,Y,N,N,,,
690,"Phascolomyces articulosus v1.0",Phaart1,60185,47605836,14495,Y,N,N,,,
691,"Scytinostroma sp. KUC9335 v1.0",Scysp1_1,1884260,60644971,14908,Y,N,N,,,
692,"Pholiota alnicola AH 47727 v1.0",Phoaln1,109635,75008219,18795,Y,N,N,,,
693,"Kockovaella imperatae NRRL Y-17943 v1.0",Kocim1,4999,17465713,7393,Y,Y,N,,"Mondo SJ et al.,2017","28481340"
694,"Auriculariopsis ampla NL-1724 v1.0",Auramp1,97359,49873921,15576,Y,Y,N,,"Almasi E et al.,2019","31257601"
695,"Lophiotrema nucula CBS 627.86 v1.0",Lopnu1,690887,48642237,18117,Y,N,N,,,
696,"Mycena galopus ATCC-62051 v1.0",Mycgal1,1314675,211361780,49694,Y,N,N,,,
697,"Globomyces pollinis-pini Arg68 v1.0",Glopol1,382532,21646612,11537,Y,N,N,,,
698,"Absidia padenii NRRL 2977 v1.0",Chlpad1,90267,34328230,13495,Y,N,N,,,
699,"Mucor cordense RSA 1222 v1.0",Kircor1,101140,40953002,16794,Y,N,N,,,
700,"Gongronella butleri v1.0",Gonbut1,101105,33012461,11004,Y,N,N,,,
701,"Panellus stipticus LUM v1.0",Panst_LUM_1_1,5636,57176556,16771,Y,N,N,,,
702,"Wickerhamiella domercqiae NRRL Y-6692 v1.0",Wicdo1,45788,8431421,4743,Y,N,N,,,
703,"Meyerozyma guilliermondii ATCC 6260",Meygui1,294746,10609954,5920,Y,Y,N,,"Butler G et al.,2009","19465905"
704,"Coniosporium apollinis CBS 100218",Conap1,1168221,28645321,9308,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
705,"Capronia semiimmersa CBS27337",Capse1,5601,31616172,11909,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
706,"Cladophialophora immunda CBS83496",Claim1,569365,43029152,14033,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
707,"Fonsecaea pedrosoi CBS 271.37",Fonpe1,1442368,34688880,12527,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
708,"Fonsecaea multimorphosa CBS 102226",Fonmu1,1442371,33447075,12369,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
709,"Capronia coronata CBS 617.96",Capcor1,1182541,25807613,9231,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
710,"Cladophialophora carrionii CBS 160.54",Claca1,1279043,28991111,10373,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
711,"Verruconis gallopava",Verga1,253628,31780469,11357,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
712,"Cladophialophora bantiana CBS 173.52",Claba1,1442370,36722552,12762,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
713,"Cyphellophora europaea CBS 101466",Cypeu1,1220924,28781303,11094,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
714,"Capronia epimyces CBS 606.96",Capep1,1182542,28889638,10469,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
715,"Cladophialophora yegresii CBS 114405",Claye1,1182544,27898422,10118,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
716,"Cladophialophora psammophila CBS 110553",Claps1,1182543,39420127,13421,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
717,"Exophiala spinifera CBS89968",Exosp1,91928,32912349,12049,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
718,"Exophiala sideris CBS121828",Exosi1,1016849,29505589,11120,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
719,"Exophiala oligosperma CBS72588",Exool1,215243,38224514,13234,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
720,"Exophiala xenobiotica CBS118157",Exoxe1,348802,31405760,13187,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
721,"Exophiala mesophila CBS40295",Exome1,212818,29273723,10347,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
722,"Exophiala aquamarina CBS 119918",Exoaq1,1182545,41566958,13118,Y,Y,N,,"Teixeira MM et al.,2017","28348446"
723,"Colletotrichum phormii CBS102054 v1.0",Colph1,359342,51666170,15209,Y,N,N,,,
724,"Exophiala dermatitidis UT8656",Exode1,858893,26350763,9562,Y,Y,N,,"Chen Z et al.,2014~Teixeira MM et al.,2017","24496724 28348446"
725,"Kuraishia capsulata CBS 1993",Kurca1,1382522,11371246,6029,Y,Y,N,,"Morales L et al.,2013","24317973"
726,"Gymnopilus junonius AH 44721 v1.0",Gymjun1,109634,59461163,16444,Y,N,N,,,
727,"Porodaedalea chrysoloma FP-135951 v1.0",Porchr1,74615,44689624,13562,Y,N,N,,,
728,"Zychaea mexicana RSA 1403 v1.0",Zycmex1,64656,50638590,14004,Y,N,N,,,
729,"Catenaria anguillulae PL171 v2.0",Catan2,109876,41337528,12804,Y,Y,N,,"Mondo SJ et al.,2017","28481340"
730,"Neocallimastix californiae G1 v1.0",Neosp1,1754190,193032486,20219,Y,Y,N,,"Haitjema CH et al.,2017","28555641"
731,"Anaeromyces robustus v1.0",Anasp1,1754192,71685009,12832,Y,Y,N,,"Haitjema CH et al.,2017~Mondo SJ et al.,2017","28555641 28481340"
732,"Piromyces finnis v3.0",Pirfi3,1754191,56455805,10992,Y,Y,N,,"Haitjema CH et al.,2017~Mondo SJ et al.,2017","28555641 28481340"
733,"Hypoxylon sp. EC38 v3.0",HypEC38_3,1001937,47717833,12534,Y,Y,N,,"Wu W et al.,2017","28078400"
734,"Cyathus striatus AH 40144 v1.0",Cyastr2,68777,91180015,23513,Y,N,N,,,
735,"Lichtheimia corymbifera JMRC:FSU:9682",Liccor1,1263082,33525905,13404,Y,Y,N,,"Schwartze VU et al.,2014","25121733"
736,"Tuber borchii Tbo3840 v1.0",Tubbor1,42251,97184993,12346,Y,Y,N,,"Murat C et al.,2018","29930051"
737,"Oudemansiella mucida CBS 558.79 v1.0",Oudmuc1,139077,61732987,18562,Y,N,N,,,
738,"Xenasmatella vaga CBS212.54 v1.0",Xenvag1,301416,64171080,20933,Y,N,N,,,
739,"Mycotypha africana NRRL 2978 v1.0",Mycafr1,64632,29202882,10917,Y,N,N,,,
